"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.147945380E-1,7.699999958E-2,5.740000010E-1,-7.120000124E-1,9.177957391E-1
6.197431640E-1,7.299999893E-2,6.250000000E-1,-6.949999928E-1,9.375387938E-1
6.246920750E-1,7.299999893E-2,6.250000000E-1,-6.949999928E-1,9.375387938E-1
6.296415400E-1,3.500000015E-2,6.669999957E-1,-6.499999762E-1,9.319946155E-1
6.345908430E-1,3.500000015E-2,6.669999957E-1,-6.499999762E-1,9.319946155E-1
6.395387550E-1,3.500000015E-2,6.399999857E-1,-6.579999924E-1,9.185798668E-1
6.444870760E-1,3.500000015E-2,6.399999857E-1,-6.579999924E-1,9.185798668E-1
6.494348400E-1,1.799999923E-2,5.329999924E-1,-6.449999809E-1,8.369217211E-1
6.543827670E-1,1.799999923E-2,5.329999924E-1,-6.449999809E-1,8.369217211E-1
6.593330150E-1,-1.000000047E-3,4.970000088E-1,-6.230000257E-1,7.969561097E-1
6.642825640E-1,-1.000000047E-3,4.970000088E-1,-6.230000257E-1,7.969561097E-1
6.692315600E-1,-5.700000003E-2,5.320000052E-1,-5.809999704E-1,7.898316094E-1
6.741807190E-1,-5.700000003E-2,5.320000052E-1,-5.809999704E-1,7.898316094E-1
6.791298100E-1,-4.600000009E-2,5.389999747E-1,-4.920000136E-1,7.312325117E-1
6.840789010E-1,-4.600000009E-2,5.389999747E-1,-4.920000136E-1,7.312325117E-1
6.890290560E-1,-1.999999955E-2,5.059999824E-1,-4.490000010E-1,6.767842958E-1
6.939788990E-1,-1.999999955E-2,5.059999824E-1,-4.490000010E-1,6.767842958E-1
6.989242510E-1,3.500000015E-2,4.930000007E-1,-4.499999881E-1,6.684115424E-1
7.038709120E-1,3.500000015E-2,4.930000007E-1,-4.499999881E-1,6.684115424E-1
7.088198110E-1,6.800000370E-2,4.659999907E-1,-5.249999762E-1,7.052694285E-1
7.137680580E-1,6.800000370E-2,4.659999907E-1,-5.249999762E-1,7.052694285E-1
7.187155210E-1,8.399999887E-2,4.219999909E-1,-5.950000286E-1,7.342785753E-1
7.236632140E-1,8.399999887E-2,4.219999909E-1,-5.950000286E-1,7.342785753E-1
7.286167010E-1,3.999999911E-2,3.880000114E-1,-5.950000286E-1,7.114555804E-1
7.335684720E-1,3.999999911E-2,3.880000114E-1,-5.950000286E-1,7.114555804E-1
7.385114540E-1,7.000000216E-3,3.750000000E-1,-5.490000248E-1,6.648872290E-1
7.434570110E-1,7.000000216E-3,3.750000000E-1,-5.490000248E-1,6.648872290E-1
7.484044120E-1,1.799999923E-2,4.420000017E-1,-5.339999795E-1,6.934291453E-1
7.533512590E-1,1.799999923E-2,4.420000017E-1,-5.339999795E-1,6.934291453E-1
7.582983300E-1,4.000000190E-3,3.659999967E-1,-5.889999866E-1,6.934644777E-1
7.632453370E-1,4.000000190E-3,3.659999967E-1,-5.889999866E-1,6.934644777E-1
7.681950000E-1,3.099999949E-2,3.849999905E-1,-6.179999709E-1,7.287729116E-1
7.731438810E-1,3.099999949E-2,3.849999905E-1,-6.179999709E-1,7.287729116E-1
7.780893430E-1,5.200000107E-2,4.020000100E-1,-5.970000029E-1,7.216072419E-1
7.830358060E-1,5.200000107E-2,4.020000100E-1,-5.970000029E-1,7.216072419E-1
7.879810050E-1,4.899999872E-2,4.230000079E-1,-5.690000057E-1,7.106975538E-1
7.929265760E-1,4.899999872E-2,4.230000079E-1,-5.690000057E-1,7.106975538E-1
7.978742700E-1,1.999999955E-2,4.300000072E-1,-5.920000076E-1,7.319590256E-1
8.028213430E-1,1.999999955E-2,4.300000072E-1,-5.920000076E-1,7.319590256E-1
8.077684150E-1,-6.199999899E-2,4.490000010E-1,-4.490000010E-1,6.380015686E-1
8.127154920E-1,-6.199999899E-2,4.490000010E-1,-4.490000010E-1,6.380015686E-1
8.176624340E-1,-6.300000101E-2,4.000000060E-1,-3.790000081E-1,5.546260101E-1
8.226094170E-1,-6.300000101E-2,4.000000060E-1,-3.790000081E-1,5.546260101E-1
8.275607980E-1,-4.699999839E-2,3.930000067E-1,-2.930000126E-1,4.924500102E-1
8.325108850E-1,-4.699999839E-2,3.930000067E-1,-2.930000126E-1,4.924500102E-1
8.374576260E-1,1.000000047E-3,3.970000148E-1,-2.899999917E-1,4.916401193E-1
8.424053490E-1,1.000000047E-3,3.970000148E-1,-2.899999917E-1,4.916401193E-1
8.473533950E-1,2.099999972E-2,4.140000045E-1,-3.420000076E-1,5.374020924E-1
