"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.969066710E-1,-7.299999893E-2,1.899999976E-1,-6.209999919E-1,6.535059211E-1
5.018548370E-1,-8.600000292E-2,2.070000023E-1,-5.989999771E-1,6.395670207E-1
5.068019860E-1,-8.600000292E-2,2.070000023E-1,-5.989999771E-1,6.395670207E-1
5.117515740E-1,-3.599999845E-2,1.739999950E-1,-6.100000143E-1,6.353518833E-1
5.167004490E-1,-3.599999845E-2,1.739999950E-1,-6.100000143E-1,6.353518833E-1
5.216481880E-1,-2.199999988E-2,1.759999990E-1,-6.079999804E-1,6.333434897E-1
5.265962430E-1,-2.199999988E-2,1.759999990E-1,-6.079999804E-1,6.333434897E-1
5.315420600E-1,-4.800000042E-2,1.550000012E-1,-6.140000224E-1,6.350787573E-1
5.364885410E-1,-4.800000042E-2,1.550000012E-1,-6.140000224E-1,6.350787573E-1
5.414382320E-1,-1.499999966E-2,1.829999983E-1,-6.110000014E-1,6.379929476E-1
5.463869910E-1,-1.499999966E-2,1.829999983E-1,-6.110000014E-1,6.379929476E-1
5.513325180E-1,-5.600000173E-2,1.850000024E-1,-6.150000095E-1,6.446596100E-1
5.562789930E-1,-5.600000173E-2,1.850000024E-1,-6.150000095E-1,6.446596100E-1
5.612248650E-1,-7.500000298E-2,1.860000044E-1,-5.989999771E-1,6.316818619E-1
5.661709160E-1,-7.500000298E-2,1.860000044E-1,-5.989999771E-1,6.316818619E-1
5.711190690E-1,-7.299999893E-2,1.790000051E-1,-5.889999866E-1,6.199120792E-1
5.760666060E-1,-7.299999893E-2,1.790000051E-1,-5.889999866E-1,6.199120792E-1
5.810141980E-1,-5.499999970E-2,1.589999944E-1,-5.640000105E-1,5.885592664E-1
5.859617690E-1,-5.499999970E-2,1.589999944E-1,-5.640000105E-1,5.885592664E-1
5.909111480E-1,-4.199999943E-2,1.040000021E-1,-5.450000167E-1,5.564216194E-1
5.958599670E-1,-4.199999943E-2,1.040000021E-1,-5.450000167E-1,5.564216194E-1
6.008113860E-1,-4.199999943E-2,1.040000021E-1,-5.450000167E-1,5.564216194E-1
6.057620430E-1,-4.199999943E-2,1.040000021E-1,-5.450000167E-1,5.564216194E-1
