"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.661677790E-1,1.710000038E-1,9.399999678E-2,-5.440000296E-1,5.779386065E-1
4.711141670E-1,1.480000019E-1,1.230000034E-1,-5.210000277E-1,5.554043844E-1
4.760604720E-1,1.480000019E-1,1.230000034E-1,-5.210000277E-1,5.554043844E-1
4.810078900E-1,1.110000014E-1,1.350000054E-1,-5.249999762E-1,5.533271878E-1
4.859549610E-1,1.110000014E-1,1.350000054E-1,-5.249999762E-1,5.533271878E-1
4.909004180E-1,1.369999945E-1,1.180000007E-1,-5.609999895E-1,5.894183462E-1
4.958463490E-1,1.369999945E-1,1.180000007E-1,-5.609999895E-1,5.894183462E-1
5.007932690E-1,1.099999994E-1,1.509999931E-1,-5.350000262E-1,5.666798266E-1
5.057398940E-1,1.099999994E-1,1.509999931E-1,-5.350000262E-1,5.666798266E-1
5.106881290E-1,9.099999815E-2,1.369999945E-1,-5.860000253E-1,6.086427752E-1
5.156358940E-1,9.099999815E-2,1.369999945E-1,-5.860000253E-1,6.086427752E-1
5.205837290E-1,1.059999987E-1,1.270000041E-1,-5.860000253E-1,6.089014948E-1
5.255315300E-1,1.059999987E-1,1.270000041E-1,-5.860000253E-1,6.089014948E-1
5.304798180E-1,9.700000286E-2,1.230000034E-1,-5.559999943E-1,5.776452155E-1
5.354279430E-1,9.700000286E-2,1.230000034E-1,-5.559999943E-1,5.776452155E-1
5.403732190E-1,7.500000298E-2,1.019999981E-1,-5.550000072E-1,5.692574180E-1
5.453193300E-1,7.500000298E-2,1.019999981E-1,-5.550000072E-1,5.692574180E-1
5.502663600E-1,4.600000009E-2,9.200000018E-2,-5.680000186E-1,5.772382707E-1
5.552131110E-1,4.600000009E-2,9.200000018E-2,-5.680000186E-1,5.772382707E-1
5.601645700E-1,7.800000161E-2,5.000000075E-2,-5.220000148E-1,5.301584817E-1
